created_at,updated_at,event_id,entry_id,position,percentage,id
2026-03-18 20:28:40.936517,2026-03-18 20:28:40.936517,1030,24290,1,,70
2026-03-18 20:28:57.393852,2026-03-18 20:28:57.393852,1031,24313,1,,71
2026-03-18 20:29:13.933793,2026-03-18 20:29:13.933793,1032,24343,1,,72
2026-03-18 20:57:24.814253,2026-03-18 20:57:24.814253,1033,24350,1,28.5,73
2026-03-18 20:57:24.814253,2026-03-18 20:57:24.814253,1033,24352,2,22.9,74
2026-03-18 20:57:24.814253,2026-03-18 20:57:24.814253,1033,24353,3,7.5,75
2026-03-18 20:57:24.814253,2026-03-18 20:57:24.814253,1033,24363,4,6,76
2026-03-18 20:57:24.814253,2026-03-18 20:57:24.814253,1033,24357,5,5.2,77
2026-03-18 20:57:25.214175,2026-03-18 20:57:25.214175,1034,24369,1,50.23,78
2026-03-18 20:57:25.214175,2026-03-18 20:57:25.214175,1034,24371,2,10.98,79
2026-03-18 20:57:25.214175,2026-03-18 20:57:25.214175,1034,24378,3,8.01,80
2026-03-18 20:57:25.214175,2026-03-18 20:57:25.214175,1034,24385,4,6.8,81
2026-03-18 20:57:25.214175,2026-03-18 20:57:25.214175,1034,24377,5,6.17,82
2026-03-18 20:57:25.450511,2026-03-18 20:57:25.450511,1035,24408,1,17.7,83
2026-03-18 20:57:25.450511,2026-03-18 20:57:25.450511,1035,24401,2,15.7,84
2026-03-18 20:57:25.450511,2026-03-18 20:57:25.450511,1035,24390,3,15.4,85
2026-03-18 20:57:25.450511,2026-03-18 20:57:25.450511,1035,24392,4,13.4,86
2026-03-18 20:57:25.450511,2026-03-18 20:57:25.450511,1035,24391,5,7.7,87
2026-03-18 20:57:25.720874,2026-03-18 20:57:25.720874,1036,24417,1,17.6,88
2026-03-18 20:57:25.720874,2026-03-18 20:57:25.720874,1036,24409,2,16,89
2026-03-18 20:57:25.720874,2026-03-18 20:57:25.720874,1036,24412,3,15.4,90
2026-03-18 20:57:25.720874,2026-03-18 20:57:25.720874,1036,24427,4,8.3,91
2026-03-18 20:57:25.720874,2026-03-18 20:57:25.720874,1036,24410,5,7,92
2026-03-18 20:57:25.849284,2026-03-18 20:57:25.849284,1037,24432,1,19.9,93
2026-03-18 20:57:25.849284,2026-03-18 20:57:25.849284,1037,24430,2,16.5,94
2026-03-18 20:57:25.849284,2026-03-18 20:57:25.849284,1037,24433,3,8.4,95
2026-03-18 20:57:25.849284,2026-03-18 20:57:25.849284,1037,24437,4,8.3,96
2026-03-18 20:57:25.849284,2026-03-18 20:57:25.849284,1037,24441,5,7.4,97
