id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
1,2,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
2,3,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
3,4,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
4,5,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
5,6,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
6,7,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
7,8,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
8,9,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
9,10,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
10,11,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
11,12,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
12,13,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
13,14,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
14,15,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
15,16,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
16,17,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
17,18,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
18,19,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
19,20,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
20,21,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
21,22,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
22,23,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
23,24,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
24,25,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
25,26,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
